State,EventDate,Duration,Shape
OH,2013-01-17,12.0,circle
TX,2013-01-17,43.0,fireball
NY,2013-01-17,16.0,cigar
PA,2013-01-17,46.0,triangle
MN,2013-01-17,38.0,formation
FL,2013-01-17,20.0,fireball
VA,2013-01-17,25.0,light
MT,2013-01-17,40.0,circle
TX,2013-01-17,15.0,circle
VT,2013-01-17,6.0,triangle
OR,2013-01-17,15.0,light
OR,2013-01-16,30.0,chevron
WA,2013-01-16,32.0,light
NV,2013-01-16,21.0,triangle
WA,2013-01-16,44.0,unknown
NC,2013-01-16,1.0,unknown
FL,2013-01-16,13.0,triangle
AZ,2013-01-16,29.0,circle
IL,2013-01-16,32.0,unknown
IN,2013-01-16,13.0,changing
FL,2013-01-15,10.0,light
LA,2013-01-15,17.0,circle
TX,2013-01-15,33.0,unknown
WA,2013-01-15,47.0,fireball
AZ,2013-01-15,46.0,light
AZ,2013-01-15,32.0,unknown
AZ,2013-01-15,27.0,light
SC,2013-01-15,36.0,unknown
OH,2013-01-15,3.0,circle
SC,2013-01-15,26.0,light
IA,2013-01-15,1.0,triangle
WA,2013-01-15,4.0,fireball
NY,2013-01-15,21.0,unknown
WI,2013-01-14,29.0,triangle
MA,2013-01-14,31.0,light
MI,2013-01-14,10.0,circle
ME,2013-01-14,28.0,light
AZ,2013-01-14,18.0,light
IL,2013-01-14,38.0,unknown
VA,2013-01-14,44.0,changing
AZ,2013-01-14,11.0,fireball
RI,2013-01-14,11.0,light
CT,2013-01-14,17.0,oval
CA,2013-01-14,14.0,sphere
BC,2013-01-14,21.0,circle
CA,2013-01-14,4.0,light
CA,2013-01-13,2.0,light
FL,2013-01-13,30.0,fireball
VA,2013-01-13,48.0,triangle
NC,2013-01-13,13.0,triangle
MO,2013-01-13,17.0,unknown
WI,2013-01-13,49.0,unknown
BC,2013-01-13,4.0,light
MI,2013-01-13,23.0,circle
UT,2013-01-12,27.0,sphere
SC,2013-01-12,23.0,light
CA,2013-01-12,21.0,sphere
GA,2013-01-12,41.0,oval
SD,2013-01-12,39.0,light
GA,2013-01-12,25.0,oval
GA,2013-01-12,18.0,oval
CA,2013-01-12,44.0,light
CA,2013-01-12,31.0,circle
FL,2013-01-12,30.0,fireball
WA,2013-01-12,14.0,circle
MT,2013-01-12,7.0,flash
UT,2013-01-12,38.0,circle
FL,2013-01-11,9.0,fireball
FL,2013-01-11,18.0,light
OR,2013-01-11,28.0,unknown
FL,2013-01-11,6.0,unknown
PE,2013-01-11,32.0,light
NC,2013-01-11,33.0,sphere
OH,2013-01-10,2.0,fireball
VA,2013-01-10,20.0,formation
MI,2013-01-10,43.0,circle
MA,2013-01-10,3.0,triangle
MN,2013-01-10,20.0,triangle
TX,2013-01-10,10.0,sphere
MA,2013-01-10,9.0,light
OH,2013-01-10,7.0,rectangle
NB,2013-01-10,13.0,unknown
CO,2013-01-10,45.0,triangle
ME,2013-01-10,26.0,cigar
OR,2013-01-09,14.0,unknown
IA,2013-01-09,17.0,light
IA,2013-01-09,27.0,light
WI,2013-01-09,9.0,disk
WI,2013-01-09,22.0,unknown
CA,2013-01-09,10.0,disk
OR,2013-01-08,23.0,changing
BC,2013-01-08,42.0,fireball
NY,2013-01-08,17.0,triangle
GA,2013-01-08,10.0,unknown
MA,2013-01-08,27.0,triangle
UT,2013-01-08,13.0,fireball
SC,2013-01-08,48.0,light
SC,2013-01-08,21.0,fireball
ME,2013-01-08,34.0,light
MO,2013-01-08,39.0,cigar
NC,2013-01-08,47.0,triangle
CA,2013-01-08,21.0,disk
SD,2013-01-08,18.0,triangle
CT,2013-01-07,3.0,cigar
WI,2013-01-07,40.0,fireball
ON,2013-01-07,38.0,circle
TN,2013-01-07,10.0,sphere
MD,2013-01-07,45.0,circle
AZ,2013-01-07,18.0,unknown
MA,2013-01-07,45.0,light
AK,2013-01-07,43.0,unknown
VA,2013-01-06,37.0,triangle
FL,2013-01-06,35.0,unknown
MA,2013-01-06,2.0,oval
PA,2013-01-06,39.0,light
TX,2013-01-06,49.0,circle
PA,2013-01-06,49.0,circle
PA,2013-01-06,13.0,unknown
AL,2013-01-06,32.0,triangle
MA,2013-01-06,13.0,fireball
MT,2013-01-06,17.0,unknown
IA,2013-01-06,42.0,light
MO,2013-01-06,3.0,light
IL,2013-01-06,18.0,circle
CO,2013-01-06,30.0,light
OK,2013-01-06,33.0,light
FL,2013-01-06,19.0,formation
UT,2013-01-06,2.0,cigar
TX,2013-01-06,28.0,triangle
CA,2013-01-06,26.0,light
CO,2013-01-05,7.0,oval
WI,2013-01-05,20.0,triangle
MA,2013-01-05,48.0,fireball
NJ,2013-01-05,46.0,fireball
NV,2013-01-05,8.0,fireball
ME,2013-01-05,38.0,circle
TX,2013-01-05,28.0,circle
CA,2013-01-05,33.0,circle
NY,2013-01-05,48.0,fireball
OH,2013-01-05,43.0,light
CA,2013-01-05,17.0,formation
CA,2013-01-05,36.0,triangle
CO,2013-01-05,43.0,oval
WA,2013-01-05,10.0,circle
IA,2013-01-05,47.0,circle
MN,2013-01-04,17.0,cross
OR,2013-01-04,5.0,light
TN,2013-01-04,38.0,fireball
PA,2013-01-04,24.0,light
SD,2013-01-04,28.0,disk
FL,2013-01-04,33.0,unknown
FL,2013-01-04,40.0,unknown
NY,2013-01-04,46.0,disk
CA,2013-01-04,32.0,light
IA,2013-01-04,11.0,unknown
MA,2013-01-04,2.0,circle
UT,2013-01-03,20.0,light
OR,2013-01-03,24.0,unknown
WA,2013-01-03,32.0,triangle
CA,2013-01-03,17.0,oval
CA,2013-01-03,3.0,sphere
CA,2013-01-03,10.0,sphere
NC,2013-01-03,17.0,cylinder
SD,2013-01-03,32.0,circle
TN,2013-01-03,13.0,light
IL,2013-01-03,27.0,disk
CA,2013-01-03,2.0,unknown
VA,2013-01-03,8.0,light
CO,2013-01-03,25.0,light
NY,2013-01-03,30.0,triangle
CA,2013-01-03,12.0,disk
NJ,2013-01-03,41.0,unknown
ON,2013-01-03,9.0,disk
AZ,2013-01-03,14.0,unknown
BC,2013-01-03,36.0,light
CA,2013-01-02,32.0,circle
NV,2013-01-02,17.0,sphere
FL,2013-01-02,42.0,oval
CT,2013-01-02,30.0,circle
NY,2013-01-02,24.0,unknown
KY,2013-01-02,32.0,cylinder
WA,2013-01-02,16.0,light
WA,2013-01-02,20.0,chevron
GA,2013-01-01,45.0,unknown
AZ,2013-01-01,15.0,unknown
FL,2013-01-01,31.0,changing
HI,2013-01-01,37.0,fireball
CA,2013-01-01,24.0,unknown
FL,2013-01-01,42.0,fireball
UT,2013-01-01,36.0,oval
CA,2013-01-01,49.0,fireball
PA,2013-01-01,27.0,light
WI,2013-01-01,25.0,formation
CA,2013-01-01,41.0,triangle
